Main condition/term,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Diagnostic Code(s),Diagnostic Description or DC Group,Classification Code,Classification Text,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
Cyst/Benign Growth - Hemic and Lymphatic,,,,,,,,,,,,,,,,,249480,Cyst/Benign Growth - Hemic and Lymphatic,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Ankle,,,,,,,,,,,,,,,,,8952,Cyst/Benign Growth - Musculoskeletal - Ankle,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Elbow,,,,,,,,,,,,,,,,,8953,Cyst/Benign Growth - Musculoskeletal - Elbow,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Foot,,,,,,,,,,,,,,,,,8954,Cyst/Benign Growth - Musculoskeletal - Foot,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Hand,,,,,,,,,,,,,,,,,8955,Cyst/Benign Growth - Musculoskeletal - Hand,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ganglion cyst in hand or fingers,,,,,,,,"left, right, bilateral","ganglion cyst in hand or fingers, right","ganglion cyst in hand or fingers, left","ganglion cyst in hand or fingers, bilateral",,,,Multiple,Hand and Finger DC Group,8955,Cyst/Benign Growth - Musculoskeletal - Hand,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Cyst/Benign Growth - Musculoskeletal - Hip,,,,,,,,,,,,,,,,,8956,Cyst/Benign Growth - Musculoskeletal - Hip,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Knee,,,,,,,,,,,,,,,,,8957,Cyst/Benign Growth - Musculoskeletal - Knee,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,,,,,,,,,,,,,8958,Cyst/Benign Growth - Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,,,,,,,,,,,,,8959,Cyst/Benign Growth - Musculoskeletal - Neck/Upper Back (Cervical Spine),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Other,,,,,,,,,,,,,,,,,8960,Cyst/Benign Growth - Musculoskeletal - Other,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Shoulder,,,,,,,,,,,,,,,,,8961,Cyst/Benign Growth - Musculoskeletal - Shoulder,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Musculoskeletal - Wrist,,,,,,,,,,,,,,,,,8962,Cyst/Benign Growth - Musculoskeletal - Wrist,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ganglion cyst in wrist,,,,,,,,"left, right, bilateral","ganglion cyst in wrist, right","ganglion cyst in wrist, left","ganglion cyst in wrist, bilateral",,,,Multiple,Wrist DC Group,8962,Cyst/Benign Growth - Musculoskeletal - Wrist,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,Multiple
Cyst/Benign Growth - Musculoskeletal and Muscle Injuries,,,,,,,,,,,,,,,,,8963,Cyst/Benign Growth - Musculoskeletal and Muscle Injuries,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Neurological other System,,,,,,,,,,,,,,,,,8964,Cyst/Benign Growth - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cyst/Benign Growth - Respiratory,,,,,,,,,,,,,,,,,8965,Cyst/Benign Growth - Respiratory,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
pulmonary granuloma (lung nodule)  ,,,,,,,,,pulmonary granuloma (lung nodule)  ,,,,,,Multiple,Granuloma Group,8965,Cyst/Benign Growth - Respiratory,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,
Cyst/Benign Growth - Skin,,,,,,,,,,,,,,,,,8966,Cyst/Benign Growth - Skin,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Dental and Oral,jaw condition,tooth condition,,,,,,,,,,,,,,,8967,Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
alveolar abscesses,,,,,,,,,,,,,,,,,8967,Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
dental abscesses,"gums, sore",,,,,,,,,,,,,,,,8967,Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
loose teeth,,,,,,,,,,,,,,,,,8967,Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
loss of teeth due to bone loss,,,,,,,,,loss of teeth due to bone loss,,,,,,9913,loss of teeth,8967,Dental and Oral,DBQ DENTAL Oral and Dental,no,Active,Active,v1.0,,,,,,,,,8967,yes,9913,loss of teeth,No Match,No Match,No Match,No Match,,9913
Dental and Oral - Musculoskeletal,,,,,,,,,,,,,,,,,249481,Dental and Oral - Musculoskeletal,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"temporomandibular disorder, including TMJ",,,,,,,,,"temporomandibular disorder, including TMJ",,,,,,9905,temporomandibular disorder (TMD),249481,Dental and Oral - Musculoskeletal,DBQ MUSC Temporomandibular Disorders,no,Active,Active,v1.0,,,,,,,,,249481,yes,9905,temporomandibular disorder (TMD),No Match,No Match,No Match,No Match,,9905
Digestive,esophageal condition,gastrointestinal problems,bowel condition,liver condition,non-specific digestive complaints,stomach condition,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"abscess, liver",,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
amebiasis,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
diverticulitis,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
dysentery,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
gastritis,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
gastroenteritis,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
pancreatitis,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
rectal bleeding,,,,,,,,,,,,,,,,,8968,Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
anal or perianal fistula (fistula-in-ano),,,,,,,,,anal or perianal fistula (fistula-in-ano),,,,,,7335,"ano, fistula",8968,Digestive,DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,,,,8968,yes,7335,"ano, fistula",No Match,No Match,No Match,No Match,,7335
cirrhosis (scarring of liver),cirrhosis of liver,,,,,,,,cirrhosis (scarring of liver),,,,,,7312,cirrhosis of the liver,8968,Digestive,DBQ GI Liver Conditions,no,Active,Active,v1.0,,,,,,,,,8968,yes,7312,cirrhosis of the liver,No Match,No Match,No Match,No Match,,7312
Crohn's disease,,,,,,,,,Crohn's disease,,,,,,7326,Crohn's disease,8968,Digestive,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v1.0,,,,,,,,,8968,yes,No Match,No Match,7323,ulcerative colitis,No Match,No Match,,7323
"dysphagia (difficulty swallowing), not associated with neurological disorder",,,,,,,,,"dysphagia (difficulty swallowing), not associated with neurological disorder",,,,,,7203,stricture of esophagus,8968,Digestive,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,,,,,,,8968,yes,,,,,,No Match,,7203
esophageal stricture (narrowing of esophagus),,,,,,,,,esophageal stricture (narrowing of esophagus),,,,,,7203,stricture of esophagus,8968,Digestive,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,,,,,,,8968,yes,No Match,No Match,7203,stricture of esophagus,No Match,No Match,,7203
fecal incontinence (loss of bowel control),,,,,,,,,fecal incontinence (loss of bowel control),,,,,,7332,impairment of sphincter control,8968,Digestive,DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,,,,8968,yes,7332,impairment of sphincter control,No Match,No Match,No Match,No Match,,7332
femoral hernia (hernia in thigh area),"hernia, femoral",,,,,,,,femoral hernia (hernia in thigh area),,,,,,7338,"hernia, including femoral, inguinal, umbilical, ventral",8968,Digestive,"DBQ GI Hernias (Including Abdominal, Inguinal, and Femoral Hernias)",no,Active,Active,v1.0,,,,,,,,,8968,yes,7340,femoral hernia,No Match,No Match,No Match,No Match,,7340
gallstones (cholelithiasis),gallstone(s),cholangitis,cholecystitis,,,,,,gallstones (cholelithiasis),,,,,,7315,cholelithiasis (gallstones),8968,Digestive,DBQ GI Gallbladder & Pancreas,no,Active,Active,v1.0,,,,,,,,,8968,yes,7315,cholelithiasis (gallstones),No Match,No Match,No Match,No Match,,7315
GERD (gastroesophageal reflux disease),GERD,,,,,,,,GERD (gastroesophageal reflux disease),,,,,,7346,hiatal hernia,8968,Digestive,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,,,,,,,8968,yes,No Match,No Match,7346,hiatal hernia,No Match,No Match,,7346
hemorrhoids,,,,,,,,,hemorrhoids,,,,,,7336,hemorrhoids,8968,Digestive,DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,,,,8968,yes,7336,hemorrhoids,No Match,No Match,No Match,No Match,,7336
hepatitis B,,,,,,,,,hepatitis B,,,,,,7345,"chronic liver disease, without cirrhosis",8968,Digestive,DBQ GI Liver Conditions,no,Active,Active,v1.0,,,,,,,,,8968,yes,7345,"chronic liver disease, without cirrhosis",No Match,No Match,No Match,No Match,,7345
hepatitis C,,,,,,,,,hepatitis C,,,,,,7354,hepatitis C,8968,Digestive,DBQ GI Liver Conditions,no,Active,Active,v1.0,,,,,,,,,8968,yes,7354,hepatitis C,No Match,No Match,No Match,No Match,,7354
hiatal hernia,"hernia, hiatal",,,,,,,,hiatal hernia,,,,,,7346,hiatal hernia,8968,Digestive,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,,,,,,,8968,yes,7346,hiatal hernia,No Match,No Match,No Match,No Match,,7346
inguinal hernia (hernia in groin),"hernia, inguinal",,,,,,,,inguinal hernia (hernia in groin),,,,,,7338,"hernia, including femoral, inguinal, umbilical, ventral",8968,Digestive,"DBQ GI Hernias (Including Abdominal, Inguinal, and Femoral Hernias)",no,Active,Active,v1.0,,,,,,,,,8968,yes,7338,"hernia, including femoral, inguinal, umbilical, ventral",No Match,No Match,No Match,No Match,,7338
irritable bowel syndrome (IBS),"colon syndrome, irritable",irritable bowel syndrome,irritable colon,,,,,,irritable bowel syndrome (IBS),,,,,,7319,irritable bowel syndrome,8968,Digestive,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v1.0,,,,,,,,,8968,yes,7319,irritable bowel syndrome,No Match,No Match,No Match,No Match,,7319
proctitis (inflammation of rectum),,,,,,,,,proctitis (inflammation of rectum),,,,,,7337,ani pruritus (anal itching),8968,Digestive,DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,,,,8968,yes,No Match,No Match,7332,impairment of sphincter control,No Match,No Match,,7332
ulcerative colitis,colitis,peptic ulcer disease,ulcer condition,,,,,,ulcerative colitis,,,,,,7323,ulcerative colitis,8968,Digestive,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v1.0,,,,,,,,,8968,yes,7323,ulcerative colitis,No Match,No Match,No Match,No Match,,7323
ventral hernia (hernia in abdomen),"hernia, ventral",,,,,,,,ventral hernia (hernia in abdomen),,,,,,7338,"hernia, including femoral, inguinal, umbilical, ventral",8968,Digestive,"DBQ GI Hernias (Including Abdominal, Inguinal, and Femoral Hernias)",no,Active,Active,v1.0,,,,,,,,,8968,yes,7339,ventral hernia,No Match,No Match,No Match,No Match,,7339
Ear Disease and Other Sense Organs,ear infection,non-specific ear condition,,,,,,,,,,,,,,,8969,Ear Disease and Other Sense Organs,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
otosclerosis,,,,,,,,,,,,,,,,,8969,Ear Disease and Other Sense Organs,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
chronic otitis externa (swimmer's ear),,,,,,,,"left, right, bilateral","chronic otitis externa (swimmer's ear), right","chronic otitis externa (swimmer's ear), left","chronic otitis externa (swimmer's ear), bilateral",,,,6210,chronic otitis externa,8969,Ear Disease and Other Sense Organs,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,,,,8969,yes,No Match,No Match,6210,chronic otitis externa,No Match,No Match,,6210
chronic otitis media (chronic middle ear infection),otitis media (middle ear infection),otitis media,,,,,,"left, right, bilateral","chronic otitis media (chronic middle ear infection), right","chronic otitis media (middle ear infection), left","chronic otitis media (middle ear infection), bilateral",,,,6201,chronic nonsuppurative otitis media,8969,Ear Disease and Other Sense Organs,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,v1.2,,Replaced with chronic otitis media (chronic middle ear infection),Update to 8969 (Ear Disease and Other Sense Organs).,,,,,,,,,,,,,,
chronic suppurative otitis media (CSOM) or mastoiditis,mastoiditis,,,,,,,"left, right, bilateral","chronic suppurative otitis media (CSOM) or mastoiditis, right","chronic suppurative otitis media (CSOM) or mastoiditis, left","chronic suppurative otitis media (CSOM) or mastoiditis, bilateral",,,,6200,chronic suppurative otitis media,8969,Ear Disease and Other Sense Organs,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,,,,8969,yes,No Match,No Match,6200,chronic suppurative otitis media,No Match,No Match,,6200
complete loss of sense of smell (anosmia),"smell, loss of sense of",,,,,,,,complete loss of sense of smell (anosmia),,,,,,6275,complete loss of sense of smell,8969,Ear Disease and Other Sense Organs,DBQ ENT Loss of Sense of Smell and or Taste,no,Active,Active,v1.0,,,,,,,,,8969,yes,6275,complete loss of sense of smell,No Match,No Match,No Match,No Match,,6275
complete loss of sense of taste (ageusia),"taste, loss of sense of",,,,,,,,complete loss of sense of taste (ageusia),,,,,,6276,complete loss of sense of taste,8969,Ear Disease and Other Sense Organs,DBQ ENT Loss of Sense of Smell and or Taste,no,Active,Active,v1.0,,,,,,,,,8969,yes,6276,complete loss of sense of taste,No Match,No Match,No Match,No Match,,6276
labyrinthitis (inner ear inflammation),labyrinthitis,labyrinthitis (type of inner ear infection),,,,,,"left, right, bilateral","labyrinthitis (inner ear inflammation), right","labyrinthitis (inner ear inflammation), left","labyrinthitis (inner ear inflammation), bilateral",,,,6204,labyrinthitis,8969,Ear Disease and Other Sense Organs,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,v1.2,,v1.2 Replaced with labryinthitis (innear ear inflammation),,,,,,,,,,,,,,,
Meniere's disease,,,,,,,,,Meniere's disease,,,,,,6205,Meniere's syndrome,8969,Ear Disease and Other Sense Organs,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,,,,8969,yes,6205,Meniere's syndrome,No Match,No Match,No Match,No Match,,6205
perforated eardrum (perforated tympanic membrane),,,,,,,,"left, right, bilateral","perforated eardrum (perforated tympanic membrane), right","perforated eardrum (perforated tympanic membrane), left","perforated eardrum (perforated tympanic membrane), bilateral",,,,6211,perforated eardrum,8969,Ear Disease and Other Sense Organs,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,,,,,,,8969,yes,No Match,No Match,6211,perforated eardrum,No Match,No Match,,6211
Eating Disorders,eating disorder,,,,,,,,,,,,,,,,8970,Eating Disorders,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
anorexia (type of eating disorder),,,,,,,,,anorexia (type of eating disorder),,,,,,9520,anorexia nervosa,8970,Eating Disorders,DBQ PSYCH Eating Disorders,no,Active,Active,v1.0,,,,,,,,,8970,yes,9520,anorexia nervosa,No Match,No Match,No Match,No Match,,9520
bulimia (type of eating disorder),,,,,,,,,bulimia (type of eating disorder),,,,,,9521,bulimia nervosa,8970,Eating Disorders,DBQ PSYCH Eating Disorders,no,Active,Active,v1.0,,,,,,,,,8970,yes,9521,bulimia nervosa,No Match,No Match,No Match,No Match,,9521
Embolism/Infarction - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,8971,Embolism/Infarction - Heart/Veins/Arteries,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
heart attack (myocardial infarction),,,,,,,,,heart attack (myocardial infarction),,,,,,7006,myocardial infarction (heart attack),8971,Embolism/Infarction - Heart/Veins/Arteries,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,8971,yes,7006,myocardial infarction (heart attack),No Match,No Match,No Match,No Match,,7006
Embolism/Infarction - Neurological other System,"embolism, brain",,,,,,,,,,,,,,,,8972,Embolism/Infarction - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
brain hemorrhage,,,,,,,,,,,,,,,,,8972,Embolism/Infarction - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
brain thrombosis,"thrombosis, brain",,,,,,,,,,,,,,,,8972,Embolism/Infarction - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Endocrine,thyroid condition,,,,,,,,,,,,,,,,8973,Endocrine,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
acromegaly,,,,,,,,,,,,,,,,,8973,Endocrine,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Addison's disease,,,,,,,,,,,,,,,,,8973,Endocrine,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Cushing's syndrome,,,,,,,,,,,,,,,,,8973,Endocrine,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
parathyroid adenoma,,,,,,,,,,,,,,,,,8973,Endocrine,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
diabetes insipidus,,,,,,,,,diabetes insipidus,,,,,,7909,diabetes insipidus,8973,Endocrine,"DBQ ENDO Endocrine (Other than Thyroid, Parathyroid or Diabetes Mellitus)",no,Active,Active,v1.0,,,,,,,,,8973,yes,7909,diabetes insipidus,No Match,No Match,No Match,No Match,,7909
"diabetes, type 1 or type 2",diabetes,diabetes mellitus,,,,,,,"diabetes, type 1 or type 2",,,,,,7913,diabetes mellitus,8973,Endocrine,DBQ ENDO Diabetes mellitus,no,Active,Active,v1.0,,,,,,,,,8973,yes,7913,diabetes mellitus,No Match,No Match,No Match,No Match,,7913
hyperthyroidism (overactive thyroid),hyperthyroidism,,,,,,,,hyperthyroidism (overactive thyroid),,,,,,7900,hyperthyroidism,8973,Endocrine,DBQ ENDO Thyroid & Parathyroid,no,Active,Active,v1.0,,,,,,,,,8973,yes,7900,hyperthyroidism,No Match,No Match,No Match,No Match,,7900
hypothyroidism (underactive thyroid),hypothyroidism,,,,,,,,hypothyroidism (underactive thyroid),,,,,,7903,hypothyroidism,8973,Endocrine,DBQ ENDO Thyroid & Parathyroid,no,Active,Active,v1.0,,,,,,,,,8973,yes,7903,hypothyroidism,No Match,No Match,No Match,No Match,,7903
Eye (Vision),eye disease,vision,,,,,,"left, right, bilateral","eye condition, bilateral","eye condition, left","eye condition, right",,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cataract,"cataracts, posterior subcapsular",posterior subcapsular cataracts,,,,,,,,,,,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
choroiditis,cyclitis,keratitis,iritis,scleritis,uveitis,,,,,,,,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
corneal opacities,,,,,,,,,,,,,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
enucleation,,,,,,,,,,,,,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Herpes - Eye (Vision),,,,,,,,,,,,,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
retinitis,retina (detachment of),"retina (scars, atrophy, or irregularities of)",,,,,,,,,,,,,,,8974,Eye (Vision),,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
chronic conjunctivitis (pink eye),conjunctivitis,,,,,,,,chronic conjunctivitis (pink eye),,,,,,6018,chronic conjunctivitis,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,,,,8974,yes,6018,chronic conjunctivitis,No Match,No Match,No Match,No Match,,6018
diabetic retinopathy,,,,,,,,,diabetic retinopathy,,,,,,6040,diabetic retinopathy,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,,,,8974,yes,6040,diabetic retinopathy,No Match,No Match,No Match,No Match,,6040
dry eye syndrome,,,,,,,,,dry eye syndrome,,,,,,6025,disorders of the lacrimal apparatus,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,,,,8974,yes,6025,disorders of the lacrimal apparatus,No Match,No Match,No Match,No Match,,6025
epiphora (watery eyes),,,,,,,,,epiphora (watery eyes),,,,,,6025,disorders of the lacrimal apparatus,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,,,,8974,yes,No Match,No Match,6025,disorders of the lacrimal apparatus,No Match,No Match,,6025
glaucoma,,,,,,,,"left, right, bilateral","glaucoma, right","glaucoma, left","glaucoma, bilateral",,,,6013,open-angle glaucoma,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,v1.3,,v1.3 added laterality,,,,,,8974,yes,No Match,No Match,No Match,No Match,No Match,No Match,,6013
loss of both eyes,,,,,,,,,loss of both eyes,,,,,,6061,anatomical loss both eyes,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,,,,8974,yes,6061,anatomical loss both eyes,No Match,No Match,No Match,No Match,,6061
"visual impairment, including blurry vision, blindness and double vision",blindness (including light perception only),visually impaired,,,,,,,"visual impairment, including blurry vision, blindness and double vision",,,,,,Multiple,Visual Impairment DC Group,8974,Eye (Vision),DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,,,,No Match,no,6062,blindness in both eyes,No Match,No Match,No Match,No Match,,Multiple
Genitourinary,non-specific genitourinary complaints,,,,,,,,,,,,,,,,8975,Genitourinary,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"abscess, kidney",,,,,,,,,,,,,,,,,8975,Genitourinary,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
bladder condition,,,,,,,,,,,,,,,,,8975,Genitourinary,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cystitis,,,,,,,,,,,,,,,,,8975,Genitourinary,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
kidney disease,kidney failure,renal failure,,,,,,,,,,,,,,,8975,Genitourinary,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"prostate gland (injuries, infections, hypertrophy)",,,,,,,,,,,,,,,,,8975,Genitourinary,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
bladder stones,bladder stone(s),calculus - bladder,,,,,,,bladder stones,,,,,,7515,calculus in bladder,8975,Genitourinary,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,,,,8975,yes,7515,calculus in bladder,No Match,No Match,No Match,No Match,,7515
chronic kidney disease (CKD),chronic renal disease,,,,,,,,chronic kidney disease (CKD),,,,,,7530,chronic renal disease,8975,Genitourinary,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7530,chronic renal disease,No Match,No Match,No Match,No Match,,7530
chronic nephritis (inflammation of kidneys),glomerulonephritis,nephritis,,,,,,,chronic nephritis (inflammation of kidneys),,,,,,7502,chronic nephritis,8975,Genitourinary,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7502,chronic nephritis,No Match,No Match,No Match,No Match,,7502
diabetic nephropathy (diabetic kidney disease),,,,,,,,,diabetic nephropathy (diabetic kidney disease),,,,,,7541,renal involvement with systemic disease process,8975,Genitourinary,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7541,renal involvement with systemic disease process,No Match,No Match,No Match,No Match,,7541
enlarged prostate (benign prostatic hyperplasia or BPH),,,,,,,,,enlarged prostate (benign prostatic hyperplasia or BPH),,,,,,7527,"prostate gland injuries, infections, hypertrophy",8975,Genitourinary,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,7527,"prostate gland injuries, infections, hypertrophy",No Match,No Match,No Match,No Match,,7527
epididymitis,,,,,,,,,epididymitis,,,,,,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",8975,Genitourinary,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",No Match,No Match,No Match,No Match,,7525
erectile dysfunction (ED),,,,,,,,,erectile dysfunction (ED),,,,,,7522,penile deformity (loss of erectile power),8975,Genitourinary,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,7522,penile deformity (loss of erectile power),No Match,No Match,No Match,No Match,,7522
hydrocele,,,,,,,,,"hydrocele, right",,,,,,7543,varicocele/Hydrocele,8975,Genitourinary,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7543
kidney removal (nephrectomy),"kidney, removal of",removal of kidneys,,,,,,,kidney removal (nephrectomy),,,,,,7500,removal of kidney,8975,Genitourinary,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7500,removal of kidney,No Match,No Match,No Match,No Match,,7500
kidney stones (nephrolithiasis),kidney stone(s),,,,,,,,kidney stones (nephrolithiasis),,,,,,7508,nephrolithiasis (kidney stones),8975,Genitourinary,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7508,nephrolithiasis (kidney stones),No Match,No Match,No Match,No Match,,7508
